satImageFN,imageFN,Name,ID,State,County,Latitude,Longitude,Date of inception,Height (m),Focalheight (m),Range (nm),Light characteristic,heritageDesignation,Conveyd Lightstaition,yearOfTransfer,"
proceeds"
Q7621986.png,Q7621986.jpg,Stratford Shoal Light,Q7621986,Connecticut,Fairfield County,41.059806,-73.101306,1837,11,18,13,Fl W 5s,http://www.wikidata.org/entity/Q19558910,ngo,2016,
Q7995386.png,Q7995386.jpg,White Shoal Light,Q7995386,Michigan,Emmet County,45.842222,-85.135278,1910,37,38,17,Fl W 5s,http://www.wikidata.org/entity/Q19558910,publicSale,2016,"$110,009"
Q7571308.png,Q7571308.jpg,Southwest Ledge Light,Q7571308,Connecticut,New Haven County,41.231389,-72.923611,1877,14,17,13,Fl R 5s,http://www.wikidata.org/entity/Q19558910,publicSale,2016,"$180,002"
Q5002608.png,Q5002608.jpg,Butler Flats Light,Q5002608,Massachusets,New Bedford,41.60375,-70.894444,1898,16,16,6,Fl W 4s,http://www.wikidata.org/entity/Q19558910,publicSale,2016,"$80,000"
Q14716104.png,Q14716104.jpg,Frankfort Light,Q14716104,Michigan,Frankfort,44.6306,-86.2522,1873,20,22,16,F W,http://www.wikidata.org/entity/Q19558910,LocalGov,2017,
Q5475901.png,Q5475901.jpg,Fourteen Foot Shoal Light,Q5475901,Michigan,Cheboygan,45.6798,-84.435,1929,17,17,9,Oc W 4s,http://www.wikidata.org/entity/Q19558910,publicSale,2017,"$133,333"
Q5266004.png,Q5266004.jpg,Detroit River Light,Q5266004,Michigan,Monroe County,42.00075,-83.140681,1875,15,17,10,Fl(2) W 6s,http://www.wikidata.org/entity/Q19558910,publicSale,2017,"$188,500"
Q6487483.png,Q6487483.jpg,Lansing Shoals Light Station,Q6487483,Michigan,Mackinac County,45.903333,-85.561667,1928,18,21,14,Fl W 10s,http://www.wikidata.org/entity/Q19558910,publicSale,2017,"$26,000"
Q14716228.png,Q14716228.jpg,Minneapolis Shoal Light Station,Q14716228,Michigan,Delta County,45.5361,-86.9983,1934,21,25,27,Fl W 5s,http://www.wikidata.org/entity/Q19558910,publicSale,2017,"$28,000"
Q7162651.png,Q7162651.jpg,Penfield Reef Light,Q7162651,Connecticut,Fairfield County,41.116667,-73.221667,1874,35,51,15,Fl R 6s,http://www.wikidata.org/entity/Q19558910,publicSale,2017,"$282,345"
Q5598372.png,Q5598372.jpg,Grays Reef Light Station,Q5598372,Michigan,Emmet County,45.766667,-85.153333,1891,20,25,15,Fl R 10s,http://www.wikidata.org/entity/Q19558910,publicSale,2017,$52.777
Q16895957.png,Q16895957.jpg,North Manitou Shoal Light Station,Q16895957,Michigan,Leland Township,45.02,-85.9567,1935,19,24,12,Fl R 15s,http://www.wikidata.org/entity/Q19558910,publicSale,2017,"$73,000"
Q6776447.png,Q6776447.jpg,Martin Reef Light Station,Q6776447,Michigan,Mackinac County,45.913333,-84.148333,1927,16,20,13,Fl W/R 10s,http://www.wikidata.org/entity/Q19558910,publicSale,2018,"$52,777"
